location,other_location_details,size,bedrooms,bathrooms,price,property_type,purchase_type,source,beds,baths,toilets
Ongata Rongai,Ongata Rongai,2400.0,4.0,2.0,16400000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Windy Ridge,Karen,2400.0,4.0,4.0,59000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Phase 2,Buruburu,2400.0,4.0,2.0,13000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,5.0,5.0,55000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Athi river,Kitengela,10000.0,4.0,4.0,17000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Muthaiga,Muthaiga,2400.0,4.0,4.0,115000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Muthaiga,Muthaiga,2400.0,4.0,4.0,169000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Runda,Westlands,2400.0,4.0,5.0,350000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kimbo,Ruiru,5000.0,3.0,3.0,10000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Juja,Juja,5000.0,3.0,3.0,8000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Evergreen,"Runda, Westlands",2400.0,5.0,5.0,150000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Bomas,Karen,2400.0,4.0,4.0,78000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,5000.0,5.0,6.0,60000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Lavington,Lavington,2400.0,4.0,5.0,62000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,4000.0,3.0,3.0,7500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kamakis,Ruiru,4000.0,4.0,4.0,19500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ngong,Ngong,4000.0,3.0,4.0,7500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Kitengela,Kitengela,4000.0,3.0,4.0,8500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Ruiru,Ruiru,2400.0,4.0,4.0,29500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
400,"Runda Meadows, Runda, Westlands",6460.0,5.0,4.0,120000000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
Malaa,Kamulu Joska Malaa,2400.0,3.0,2.0,6500000.0,House,Sale,buyrentkenya,2.0,2.0,2.0
